id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;X0;X1;X2
1;0;5599;1077;79;5.197;3.011;5.582;4.198;1.187;1.384;46.18;4.272;4.224;4.176;4601.47;2.571;3.742;4.849;0.412;0.105;-1.168;0.642;0.15;0.02;1;0;0
1;0;5592;1077;81;5.991;3.539;6.655;4.928;1.389;1.727;44.577;4.923;4.864;4.806;5301.941;3.116;4.266;5.566;0.569;0.031;-1.153;0.754;0.153;0.023;1;0;0
1;0;5592;1077;89;5.475;3.335;5.911;4.572;1.237;1.339;48.017;4.556;4.508;4.46;4907.289;2.576;3.974;5.157;0.432;0.032;-1.175;0.658;0.144;0.02;1;0;0
1;0;5582;1077;85;5.117;2.943;5.437;4.167;1.224;1.271;49.066;4.157;4.104;4.051;4477.21;2.495;3.57;4.754;0.436;0.042;-1.156;0.66;0.159;0.02;1;0;0
1;4;5569;1077;78;5.658;3.295;6.18;4.605;1.31;1.576;45.401;4.617;4.56;4.503;4973.019;2.886;3.984;5.251;0.52;0.036;-1.186;0.721;0.156;0.022;0;0;1
1;0;5568;1077;94;5.631;3.326;6.104;4.663;1.337;1.441;48.118;4.691;4.644;4.596;5052.611;2.778;4.112;5.277;0.443;0.069;-1.158;0.666;0.142;0.02;1;0;0
1;0;5561;1077;91;5.95;3.468;6.491;4.939;1.471;1.553;48.648;4.965;4.912;4.86;5346.832;3.024;4.342;5.572;0.513;0.04;-1.165;0.716;0.144;0.022;1;0;0
1;0;5556;1077;82;5.373;3.113;5.835;4.406;1.293;1.429;47.502;4.436;4.386;4.336;4777.365;2.722;3.935;5.002;0.431;-0.022;-1.038;0.657;0.148;0.02;1;0;0
1;0;5543;1077;76;6.178;3.531;6.668;4.984;1.452;1.685;46.298;5.026;4.965;4.903;5413.169;3.137;4.397;5.681;0.614;0.09;-1.09;0.784;0.156;0.024;1;0;0
1;0;5538;1077;92;4.894;3.004;5.361;4.166;1.162;1.194;49.319;4.13;4.09;4.05;4448.42;2.357;3.583;4.625;0.325;-0.036;-1.268;0.57;0.138;0.017;1;0;0
1;2;5534;1077;78;5.46;3.078;5.896;4.519;1.441;1.376;51.145;4.478;4.422;4.365;4823.017;2.817;3.891;5.071;0.493;-0.014;-1.133;0.702;0.157;0.021;0;1;0
1;0;5530;1077;95;4.915;2.933;5.339;4.206;1.273;1.133;52.892;4.133;4.094;4.055;4451.445;2.406;3.647;4.605;0.318;0.009;-1.217;0.564;0.137;0.017;1;0;0
1;0;5530;1077;94;6.728;3.746;8.137;5.459;1.714;2.678;39.025;5.429;5.361;5.293;5847.196;4.392;4.628;6.08;0.747;0.211;-0.851;0.864;0.159;0.026;1;0;0
1;0;5505;1077;84;7.478;2.872;15.867;4.312;1.44;11.555;11.079;4.629;4.406;4.249;4985.806;12.994;3.582;4.687;3.056;2.692;8.689;1.748;0.378;0.053;1;0;0
1;4;5501;1077;71;4.597;2.82;5.012;3.814;0.994;1.198;45.348;3.808;3.773;3.739;4101.261;2.193;3.349;4.211;0.267;0.216;-1.023;0.517;0.136;0.016;0;0;1
1;0;5495;1077;85;7.451;3.3;13.586;5.074;1.775;8.512;17.254;5.21;5.022;4.876;5611.282;10.287;4.123;5.507;2.575;2.14;5.186;1.605;0.308;0.049;1;0;0
1;4;5495;1077;119;49.411;3.595;110.801;22.811;19.217;87.99;17.925;26.115;22.339;18.979;28125.807;107.206;15.371;33.17;229.01;1.42;2.747;15.133;0.579;0.461;0;0;1
1;2;5461;1077;73;66.136;2.73;106.042;4.766;2.036;101.276;1.97;16.107;8.748;5.968;17347.743;103.312;4.284;21.731;441.87;2.205;4.668;21.021;1.305;0.641;0;1;0
1;2;5446;1077;87;5.595;3.276;5.994;4.598;1.321;1.397;48.619;4.638;4.591;4.544;4995.165;2.718;4.106;5.206;0.433;0.073;-1.11;0.658;0.142;0.02;0;1;0
1;0;5440;1077;75;6.699;3.38;8.332;4.846;1.465;3.486;29.594;5.049;4.947;4.851;5438.167;4.952;4.192;5.811;1.083;0.628;-0.288;1.04;0.206;0.032;1;0;0
1;0;5433;1077;70;34.952;3.073;85.687;4.836;1.763;80.851;2.134;9.77;6.285;5.222;10522.687;82.614;3.925;6.14;194.41;3.07;8.975;13.943;1.427;0.425;1;0;0
1;2;5430;1077;82;5.271;2.974;5.652;4.382;1.409;1.27;52.595;4.345;4.293;4.24;4679.636;2.679;3.793;4.894;0.443;-0.067;-1.095;0.666;0.153;0.02;0;1;0
1;4;5420;1077;75;51.962;2.647;112.195;4.725;2.079;107.47;1.897;14.988;8.579;5.999;16142.428;109.548;4.206;18.365;366.083;2.404;6.119;19.133;1.277;0.583;0;0;1
1;0;5413;1077;38;42.738;2.781;68.138;4.315;1.533;63.823;2.346;9.624;6.076;4.839;10365.577;65.356;3.619;6.299;146.386;2.217;4.017;12.099;1.257;0.369;1;0;0
1;4;5404;1077;85;54.447;2.534;104.271;4.653;2.119;99.618;2.083;16.071;8.997;6.006;17308.596;101.737;4.115;21.41;366.403;1.87;3.086;19.142;1.191;0.583;0;0;1
1;0;5369;1077;61;50.227;2.988;100.212;4.727;1.739;95.485;1.788;11.933;6.982;5.411;12851.727;97.224;4.033;9.869;286.339;2.689;7.128;16.922;1.418;0.516;1;0;0
1;4;5369;1077;118;47.617;3.318;92.117;22.908;19.59;69.208;22.062;25.38;21.725;18.242;27333.758;88.799;14.819;32.269;202.168;1.203;1.781;14.219;0.56;0.433;0;0;1
1;4;5368;1077;79;6.662;3.818;7.095;5.372;1.554;1.723;47.417;5.413;5.34;5.268;5829.268;3.277;4.649;6.182;0.766;0.002;-1.211;0.875;0.162;0.027;0;0;1
1;0;5364;1077;59;46.095;2.602;84.591;4.162;1.559;80.429;1.902;10.574;6.179;4.821;11388.454;81.989;3.749;6.338;217.368;2.427;5.287;14.743;1.394;0.449;1;0;0
1;0;5330;1077;66;48.125;2.702;77.647;4.329;1.626;73.318;2.17;10.911;6.389;4.905;11751.6;74.944;3.64;7.065;205.918;2.108;3.665;14.35;1.315;0.437;1;0;0
1;4;5306;1077;80;6.108;3.58;6.559;5.037;1.458;1.522;48.916;5.045;4.991;4.936;5433.176;2.98;4.426;5.679;0.542;0.06;-1.136;0.736;0.146;0.022;0;0;1
1;4;5302;1077;67;55.172;2.525;99.91;4.624;2.099;95.285;2.156;15.984;8.803;5.925;17214.973;97.384;4.135;23.269;367.691;1.718;2.262;19.175;1.2;0.584;0;0;1
1;2;5301;1077;58;56.95;2.721;103.405;4.859;2.138;98.546;2.123;14.084;8.031;5.799;15168.662;100.684;4.354;14.668;338.192;2.25;4.78;18.39;1.306;0.56;0;1;0
1;2;5301;1077;71;58.708;2.83;112.019;4.939;2.109;107.08;1.931;14.388;7.788;5.732;15495.539;109.189;4.486;11.618;471.22;2.703;6.812;21.708;1.509;0.661;0;1;0
1;2;5284;1077;83;5.663;3.156;6.144;4.718;1.562;1.426;52.272;4.666;4.61;4.552;5025.178;2.988;4.026;5.216;0.514;-0.049;-1.098;0.717;0.154;0.022;0;1;0
1;0;5259;1077;74;30.037;3.174;63.065;4.989;1.814;58.076;3.03;8.884;6.403;5.426;9567.574;59.891;4.185;6.089;98.2;2.59;6.187;9.91;1.115;0.302;1;0;0
1;0;5253;1077;60;28.096;2.875;47.737;4.601;1.726;43.136;3.847;8.124;5.947;4.997;8749.435;44.862;3.776;5.588;67.936;2.173;4.085;8.242;1.015;0.251;1;0;0
1;4;5226;1077;79;5.608;3.167;6.153;4.589;1.422;1.564;47.622;4.579;4.522;4.465;4931.377;2.986;4.014;5.183;0.51;0.005;-1.073;0.714;0.156;0.022;0;0;1
1;2;5212;1077;88;6.405;3.672;6.904;5.295;1.623;1.609;50.206;5.26;5.195;5.129;5665.036;3.232;4.574;5.948;0.675;-0.008;-1.131;0.822;0.156;0.025;0;1;0
1;0;5180;1077;81;12.873;3.158;24.782;5.053;1.895;19.729;8.761;6.095;5.462;5.082;6564.418;21.623;4.094;5.574;13.04;2.555;6.655;3.611;0.592;0.11;1;0;0
1;0;5170;1077;98;7.246;2.681;19.469;3.996;1.315;15.473;7.832;4.361;4.083;3.912;4696.875;16.788;3.254;4.35;4.289;3.605;15.966;2.071;0.475;0.063;1;0;0
1;0;5169;1077;85;12.797;3.386;22.063;5.384;1.998;16.679;10.697;6.301;5.779;5.428;6786.288;18.677;4.374;6.114;9.857;2.192;4.765;3.14;0.498;0.096;1;0;0
1;2;5168;1077;78;5.627;3.27;6.125;4.617;1.348;1.508;47.187;4.638;4.59;4.542;4994.942;2.856;4.078;5.159;0.44;0.101;-1.035;0.664;0.143;0.02;0;1;0
1;2;5168;1077;79;5.588;3.313;6.066;4.609;1.296;1.457;47.088;4.617;4.568;4.518;4972.457;2.753;4.038;5.168;0.449;0.045;-1.111;0.67;0.145;0.02;0;1;0
1;2;5150;1077;76;6.16;3.511;6.617;4.992;1.481;1.625;47.692;5.009;4.947;4.885;5394.603;3.106;4.336;5.666;0.612;0.071;-1.125;0.783;0.156;0.024;0;1;0
1;2;5150;1077;102;59.37;4.823;104.437;25.283;20.46;79.154;20.539;30.047;25.036;20.817;32360.088;99.614;15.549;40.268;344.455;1.203;1.252;18.56;0.618;0.566;0;1;0
1;2;5112;1077;82;52.568;2.552;82.56;4.571;2.018;77.989;2.523;15.253;8.585;5.838;16426.946;80.007;4.106;19.336;325.791;1.699;1.975;18.05;1.183;0.55;0;1;0
1;2;5112;1077;58;56.073;2.845;98.27;4.997;2.152;93.273;2.255;13.777;8.086;5.951;14837.362;95.425;4.522;12.617;318.847;2.306;4.971;17.856;1.296;0.544;0;1;0
1;4;5109;1077;80;5.983;3.508;6.649;4.964;1.456;1.685;46.357;4.975;4.924;4.872;5358.419;3.142;4.392;5.521;0.507;0.038;-0.95;0.712;0.143;0.022;0;0;1
1;4;5100;1077;118;50.864;4.17;78.018;27.695;23.524;50.323;31.855;28.997;25.09;21.189;31229.678;73.847;16.147;40.071;213.197;0.457;-0.556;14.601;0.504;0.445;0;0;1
1;4;5100;1077;94;54.563;4.495;79.764;24.413;19.918;55.351;26.463;28.401;24.39;20.841;30587.812;75.269;16.065;37.43;248.853;0.953;0.248;15.775;0.555;0.481;0;0;1
