id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
2;0;3787;1665;322;814.224;2.571;49.529;4.548;1.977;44.981;4.211;6.705;5.332;4.703;11163.754;46.958;4.087;5.34;41.451;3.164;10.853;6.438;0.96;0.158
0;0;5417;1665;278;816.766;1.945;214.674;5.142;3.197;209.532;1.503;16.624;7.679;5.078;27678.2;212.729;3.387;15.38;795.852;3.161;10.895;28.211;1.697;0.691
0;4;5811;1665;299;821.475;2.595;41.814;4.35;1.756;37.463;4.476;5.757;4.722;4.24;9585.698;39.219;3.289;4.851;26.145;3.144;10.854;5.113;0.888;0.125
0;0;4092;1665;277;820.56;2.714;42.844;4.655;1.941;38.189;4.838;6.276;5.143;4.61;10449.396;40.13;3.546;5.202;31.205;3.136;10.552;5.586;0.89;0.137
0;4;4478;1665;245;848.184;1.74;171.179;3.104;1.364;168.076;0.805;13.371;5.595;3.698;22263.303;169.439;2.455;11.612;570.032;3.131;10.738;23.875;1.786;0.585
0;0;4376;1665;316;814.123;2.261;38.97;4.038;1.777;34.932;4.84;5.56;4.543;4.079;9256.621;36.708;3.631;4.422;25.306;3.12;10.183;5.03;0.905;0.123
2;4;4844;1665;336;831.381;2.663;59.005;4.684;2.02;54.321;3.586;7.794;5.777;4.944;12976.575;56.342;4.113;6.565;75.683;3.12;10.045;8.7;1.116;0.213
0;0;3861;1665;258;852.946;2.69;63.1;4.228;1.538;58.871;2.546;7.428;5.363;4.628;12367.203;60.409;3.64;5.342;79.771;3.101;9.71;8.931;1.202;0.219
0;0;4257;1665;291;830.921;2.53;31.27;4.215;1.685;27.055;5.864;5.455;4.672;4.251;9082.585;28.74;3.488;4.945;16.832;3.1;10.838;4.103;0.752;0.101
0;4;4564;1665;268;814.582;2.156;95.37;3.499;1.343;91.871;1.441;9.076;5.221;4.089;15112.286;93.214;2.984;6.365;195.977;3.088;9.906;13.999;1.542;0.343
0;0;3829;1665;269;829.851;1.783;166.115;3.004;1.221;163.111;0.743;13.617;5.541;3.701;22672.357;164.332;2.526;10.067;637.682;3.088;9.885;25.252;1.854;0.619
2;4;4854;1665;285;844.456;2.384;100.442;4.795;2.411;95.647;2.459;10.629;6.673;5.281;17697.955;98.058;4.211;8.456;219.317;3.083;9.712;14.809;1.393;0.363
0;2;5829;1665;365;831.271;2.181;12.889;3.221;1.039;9.668;9.704;3.428;3.289;3.185;5707.371;10.707;2.66;3.681;1.378;3.072;13.967;1.174;0.342;0.029
0;2;5277;1665;322;823.807;2.035;222.874;3.542;1.506;219.332;0.682;17.163;6.464;4.29;28575.898;220.839;3.188;9.413;1081.914;3.069;9.932;32.892;1.917;0.806
0;2;5730;1665;347;825.447;2.408;14.484;3.618;1.21;10.865;10.02;3.836;3.706;3.602;6386.353;12.075;3.087;4.255;1.363;3.06;16.276;1.167;0.304;0.029
0;4;4809;1665;280;831.239;3.073;40.826;4.523;1.45;36.303;3.842;6.628;5.446;4.914;11035.53;37.753;3.96;5.806;34.766;3.054;9.497;5.896;0.89;0.145
2;0;4195;1665;292;825.949;2.364;48.999;4.197;1.833;44.801;3.931;6.577;5.006;4.319;10950.275;46.635;3.472;6.139;47.351;3.049;9.684;6.881;1.046;0.169
2;4;5738;1665;336;832.97;2.801;16.605;4.173;1.372;12.432;9.937;4.364;4.239;4.136;7266.382;13.804;3.596;4.875;1.464;3.047;16.716;1.21;0.277;0.03
0;2;5483;1665;356;855.129;2.38;13.48;3.53;1.149;9.951;10.354;3.782;3.649;3.545;6297.464;11.1;3.059;4.163;1.401;3.044;14.875;1.184;0.313;0.029
2;0;4123;1665;259;817.274;2.107;100.198;4.122;2.015;96.076;2.054;9.85;5.978;4.587;16399.511;98.091;3.4;9.703;187.07;3.044;10.088;13.677;1.389;0.335
1;0;3865;1665;278;826.313;2.728;58.745;4.239;1.511;54.506;2.697;7.047;5.328;4.644;11733.119;56.017;3.656;5.408;57.641;3.028;9.762;7.592;1.077;0.186
0;0;3844;1665;261;846.962;1.8;121.906;2.937;1.137;118.969;0.946;10.135;4.975;3.602;16874.773;120.106;2.536;7.781;288.877;3.011;9.484;16.996;1.677;0.417
2;4;5244;1665;288;862.347;2.207;110.149;4.26;2.054;105.889;1.903;10.53;6.477;4.951;17531.721;107.942;3.822;9.939;201.63;3.01;10.214;14.2;1.349;0.348
2;2;4232;1665;361;837.59;2.252;17.502;3.897;1.645;13.605;10.788;4.169;3.963;3.81;6941.558;15.25;3.194;4.472;2.519;3.009;13.274;1.587;0.381;0.039
1;0;4044;1665;287;838.683;1.846;152.11;3.134;1.287;148.976;0.857;10.049;4.607;3.368;16731.771;150.264;2.406;4.21;315.775;2.992;10.292;17.77;1.768;0.435
2;0;3736;1665;336;827.655;2.684;17.983;4.473;1.789;13.51;11.695;4.683;4.439;4.258;7797.841;15.3;3.467;5.103;3.371;2.989;12.69;1.836;0.392;0.045
0;4;4841;1665;283;841.915;2.404;48.811;3.689;1.284;45.122;2.768;6.04;4.608;4.051;10056.825;46.406;3.25;4.618;41.785;2.98;8.805;6.464;1.07;0.158
